"統計期","發生數(件)",,,,,,,,,,,,,,,,,,,,,
,"新北市","臺北市","桃園市","臺中市","臺南市","高雄市","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"104年 2月",511,620,337,601,537,358,203,135,137,365,185,231,169,298,158,152,21,134,309,89,13,－
"104年 3月",729,502,436,604,565,380,129,84,95,301,145,147,167,274,79,161,20,83,114,70,10,－
"104年 4月",746,562,448,647,586,276,153,106,163,281,107,164,163,290,91,180,21,122,117,51,12,－
"104年 5月",778,607,392,507,529,251,200,99,147,261,122,123,149,267,133,158,17,126,86,63,5,1
"104年 6月",805,671,304,504,597,221,211,77,155,216,108,139,160,255,164,156,22,116,90,49,13,1
"104年 7月",784,629,383,536,547,223,170,93,130,273,131,145,177,247,146,224,23,139,82,57,13,－
"104年 8月",682,614,367,515,507,255,141,112,110,224,120,150,170,271,130,157,33,122,46,64,18,－
"104年 9月",806,768,453,578,538,313,201,138,148,272,124,183,169,265,171,145,23,127,69,70,20,－
"104年 10月",646,692,444,544,610,289,191,122,63,237,117,159,162,231,128,166,21,113,60,53,13,－
"104年 11月",707,664,380,614,566,243,203,117,44,218,145,153,171,264,102,191,25,108,86,69,20,1
"104年 12月",593,467,264,559,435,224,176,102,65,241,119,129,77,234,88,148,17,85,70,44,8,－
"105年 1月",506,502,337,597,423,254,150,96,82,196,121,111,118,221,66,115,21,75,64,48,20,－
"105年 2月",543,603,377,559,489,228,215,135,129,266,160,222,135,268,144,158,21,105,162,90,18,－
"105年 3月",638,543,306,702,573,280,225,155,103,273,153,173,158,254,124,154,25,101,90,76,17,1
"105年 4月",703,658,370,745,611,215,206,102,145,288,154,177,178,205,120,163,23,120,102,85,16,1
"105年 5月",746,715,411,699,549,249,240,122,169,318,128,176,142,242,125,165,28,142,151,96,16,－
"105年 6月",737,649,487,562,542,208,201,120,120,302,126,175,143,226,130,174,28,122,154,77,11,－
"105年 7月",654,728,348,698,591,246,243,113,117,336,134,167,134,228,100,151,21,134,126,41,17,2
"105年 8月",625,652,262,612,505,239,228,131,89,324,124,182,110,197,105,153,28,114,70,58,22,1
"105年 9月",689,619,412,588,512,202,203,110,111,332,93,125,95,194,118,148,29,88,55,48,15,－
"105年 10月",648,620,483,611,509,216,282,104,111,312,132,133,93,255,80,167,28,78,78,64,17,2
"105年 11月",614,602,290,584,508,251,245,93,116,314,164,127,115,291,86,186,24,93,63,72,7,－
"105年 12月",580,603,262,534,489,253,268,113,46,282,127,134,144,267,86,178,27,79,48,60,14,－
"106年 1月",629,751,256,610,594,339,299,128,117,346,172,147,149,340,79,171,30,102,149,74,23,－
"106年 2月",508,480,364,533,503,248,211,78,96,270,113,106,125,231,44,157,30,58,52,80,12,－
"106年 3月",591,485,331,573,600,288,247,104,52,269,143,131,170,317,102,138,43,55,51,90,13,－
"106年 4月",622,480,346,537,556,278,177,157,90,236,115,132,129,261,84,134,25,80,50,74,24,－
"106年 5月",679,559,415,679,592,330,209,156,159,315,137,109,135,234,85,129,22,79,80,86,20,－
"106年 6月",609,436,371,520,573,250,222,132,199,239,96,93,126,239,76,170,28,80,83,84,14,1
"106年 7月",574,658,243,627,694,293,264,158,190,284,120,121,178,254,95,148,38,101,30,92,26,1
"106年 8月",637,421,273,675,626,285,267,168,150,311,154,124,135,244,100,177,39,93,24,67,23,－
"106年 9月",540,585,307,583,559,282,240,81,83,369,133,135,139,247,100,151,25,81,70,47,9,－
"106年 10月",543,664,961,610,518,294,183,128,160,332,115,117,144,195,82,141,22,101,56,29,13,1
"106年 11月",546,469,279,580,502,274,146,138,197,292,113,128,109,255,73,175,11,104,57,40,12,1
"106年 12月",427,447,302,534,394,284,113,152,66,217,117,113,118,237,89,134,7,66,63,56,7,1


"　　各縣市區域特性不同且犯罪是社會問題,鑒於執法效能僅及於其可控制因素範圍內,在使用相關治安數據時,須特別注意勿直接比較各縣市數據而導出結論,恐因過於簡化或不完整的分析,產生誤導性的觀點,使用者在比較各縣市的統計數據時應更加謹慎。"
" "
" "
"說明：1.100年1月起配合原臺北縣、臺中縣市、臺南縣市及高雄縣市改制或合併為新北市、臺中市、臺南市及高雄市等直轄市。"
"　　　2.104年1月起桃園縣改制為桃園市。"
"　　　3.各縣市區域特性不一,刑案數據不等同治安好壞,不宜作縣市比較。"
"　　　4.本案類統計自90年開始。"
"　　　5.發生數含「補報發生」,破獲數含「破積案」或「破他轄」,故破獲率可能大於100％。"
"　　　6.為符合實際治安現況,自113年9月起,刑案相關數據由受理報案e化系統自動產出刑案紀錄表統計,部分刑案發生數的"
"  　　　計算方式由原本從「1案1發生數」改為員警受理報案「1被害人1發生數」,以詐騙集團詐騙3名被害人報案為例,原先"
"  　　　計算方式為發生數1件,刑案統計方式變更後發生數計算為3件。"
